Layer,Type,Shape,Min,Max,Mean,Std,L1
scale2c_branch2b,b,"(64,)",-2.17653226852,2.14652061462,0.079977363348,0.865960657597,2.17653226852
res2c_branch2c,w,"(256, 64, 1, 1)",-0.226488023996,0.272331684828,-0.00114749697968,0.0319057442248,0.272331684828
bn2c_branch2c,w,"(256,)",-0.924170911312,1.29778218269,-0.0200720392168,0.25657966733,1.29778218269
bn2c_branch2c,b,"(256,)",0.00012090607197,0.193552196026,0.037187255919,0.0379567891359,0.193552196026
bn2c_branch2c,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale2c_branch2c,w,"(256,)",-0.0398603640497,1.74972248077,0.506626367569,0.498051345348,1.74972248077
scale2c_branch2c,b,"(256,)",-0.991642415524,1.20853722095,-0.0706914290786,0.273333489895,1.20853722095
res3a_branch1,w,"(512, 256, 1, 1)",-0.410573542118,0.477894574404,-0.000437299488112,0.0250688325614,0.477894574404
bn3a_branch1,w,"(512,)",-2.28729224205,4.44690227509,-0.158236831427,0.708014726639,4.44690227509
bn3a_branch1,b,"(512,)",0.00209354050457,7.22610712051,0.725688755512,0.875058352947,7.22610712051
bn3a_branch1,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3a_branch1,w,"(512,)",0.00605036551133,3.72024607658,1.71436285973,0.637763738632,3.72024607658
scale3a_branch1,b,"(512,)",-0.626429736614,2.5690510273,0.268252074718,0.520708918571,2.5690510273
res3a_branch2a,w,"(128, 256, 1, 1)",-0.245630711317,0.321690917015,0.00086230103625,0.0198405496776,0.321690917015
bn3a_branch2a,w,"(128,)",-1.754383564,2.65936303139,0.0976330339909,0.699569642544,2.65936303139
bn3a_branch2a,b,"(128,)",0.00692681176588,5.74034881592,0.697245597839,0.945807158947,5.74034881592
bn3a_branch2a,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3a_branch2a,w,"(128,)",0.386088699102,1.24381113052,0.717304468155,0.177329570055,1.24381113052
scale3a_branch2a,b,"(128,)",-1.30972230434,2.38325572014,0.0575678572059,0.822324156761,2.38325572014
res3a_branch2b,w,"(128, 128, 3, 3)",-0.203604698181,0.281463086605,2.60566866928e-05,0.0126997223124,0.281463086605
bn3a_branch2b,w,"(128,)",-5.44969320297,2.18224525452,-0.0107388030738,1.03812277317,5.44969320297
bn3a_branch2b,b,"(128,)",0.000752178137191,7.80041599274,0.733915328979,1.00639951229,7.80041599274
bn3a_branch2b,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3a_branch2b,w,"(128,)",0.319719165564,1.51670277119,0.749850988388,0.240404114127,1.51670277119
scale3a_branch2b,b,"(128,)",-1.45090425014,2.23133301735,-0.00743607990444,0.820692062378,2.23133301735
res3a_branch2c,w,"(512, 128, 1, 1)",-0.347234427929,0.332278639078,-0.000542381894775,0.0175433326513,0.347234427929
bn3a_branch2c,w,"(512,)",-1.30676150322,1.46682775021,-0.0551424995065,0.274106055498,1.46682775021
bn3a_branch2c,b,"(512,)",0.000171225939994,0.687341928482,0.0673693865538,0.101365663111,0.687341928482
bn3a_branch2c,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3a_branch2c,w,"(512,)",-0.0049149915576,3.53732538223,0.705185770988,0.603149592876,3.53732538223
scale3a_branch2c,b,"(512,)",-0.626429736614,2.5690510273,0.268252074718,0.520708918571,2.5690510273
res3b1_branch2a,w,"(128, 512, 1, 1)",-0.143207773566,0.129468128085,4.73122381663e-05,0.0112083666027,0.143207773566
bn3b1_branch2a,w,"(128,)",-2.32152247429,2.20115923882,-0.0493080019951,0.707829475403,2.32152247429
bn3b1_branch2a,b,"(128,)",5.36617417168e-11,6.71093559265,1.06846904755,1.17600095272,6.71093559265
bn3b1_branch2a,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3b1_branch2a,w,"(128,)",0.233488976955,1.27286732197,0.774458944798,0.193972587585,1.27286732197
scale3b1_branch2a,b,"(128,)",-2.19084978104,1.51905310154,-0.230650439858,0.631480634212,2.19084978104
res3b1_branch2b,w,"(128, 128, 3, 3)",-0.120136670768,0.143812596798,-2.22918606596e-06,0.0104669854045,0.143812596798
bn3b1_branch2b,w,"(128,)",-2.18865776062,1.58943963051,-0.0256319846958,0.498545587063,2.18865776062
bn3b1_branch2b,b,"(128,)",0.0160718895495,1.02876210213,0.268190056086,0.188529670238,1.02876210213
bn3b1_branch2b,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3b1_branch2b,w,"(128,)",0.434487968683,1.4028223753,0.795714735985,0.193172633648,1.4028223753
scale3b1_branch2b,b,"(128,)",-1.33181965351,1.51480972767,-0.371986836195,0.549997508526,1.51480972767
res3b1_branch2c,w,"(512, 128, 1, 1)",-0.152090549469,0.15482801199,-0.000498308218084,0.0140570774674,0.15482801199
bn3b1_branch2c,w,"(512,)",-0.350940644741,0.582353651524,-0.00172934599686,0.0882979854941,0.582353651524
bn3b1_branch2c,b,"(512,)",0.000158791750437,0.161714881659,0.0133456885815,0.020832657814,0.161714881659
bn3b1_branch2c,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3b1_branch2c,w,"(512,)",-0.0866090655327,2.10567760468,0.420147120953,0.404681831598,2.10567760468
scale3b1_branch2c,b,"(512,)",-0.702025055885,1.10817956924,-0.0692260712385,0.310630232096,1.10817956924
res3b2_branch2a,w,"(128, 512, 1, 1)",-0.131618618965,0.198137253523,-0.000569264171645,0.0152829196304,0.198137253523
bn3b2_branch2a,w,"(128,)",-2.6630654335,2.04506993294,-0.3774086833,0.820864021778,2.6630654335
bn3b2_branch2a,b,"(128,)",8.65703952968e-10,3.85390090942,1.44723629951,0.773842155933,3.85390090942
bn3b2_branch2a,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3b2_branch2a,w,"(128,)",0.184886023402,1.31075966358,0.851105213165,0.202429383993,1.31075966358
scale3b2_branch2a,b,"(128,)",-2.64461994171,1.12959051132,-0.3116119802,0.543321788311,2.64461994171
res3b2_branch2b,w,"(128, 128, 3, 3)",-0.181170508265,0.179743766785,-0.00049902725732,0.0153978019953,0.181170508265
bn3b2_branch2b,w,"(128,)",-1.21126544476,2.21534991264,-0.192222058773,0.440677791834,2.21534991264
bn3b2_branch2b,b,"(128,)",0.0011023482075,0.711528658867,0.317581892014,0.138611316681,0.711528658867
bn3b2_branch2b,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3b2_branch2b,w,"(128,)",0.456005394459,1.24052083492,0.881010234356,0.181619957089,1.24052083492
scale3b2_branch2b,b,"(128,)",-1.89727079868,0.822834134102,-0.444288283587,0.473446339369,1.89727079868
res3b2_branch2c,w,"(512, 128, 1, 1)",-0.178849577904,0.228558123112,-0.000932842260227,0.0188908316195,0.228558123112
bn3b2_branch2c,w,"(512,)",-0.357933402061,0.324346512556,-0.0227864850312,0.0749746188521,0.357933402061
bn3b2_branch2c,b,"(512,)",9.39851961448e-05,0.208677649498,0.0148254986852,0.0175306070596,0.208677649498
bn3b2_branch2c,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3b2_branch2c,w,"(512,)",-0.00627638213336,2.23015403748,0.586886286736,0.390697479248,2.23015403748
scale3b2_branch2c,b,"(512,)",-0.871438860893,0.95344299078,-0.156701296568,0.292418211699,0.95344299078
res3b3_branch2a,w,"(128, 512, 1, 1)",-0.271720588207,0.281952321529,6.908121577e-05,0.0126634836197,0.281952321529
bn3b3_branch2a,w,"(128,)",-3.11681175232,3.38839864731,0.228408873081,1.10099887848,3.38839864731
bn3b3_branch2a,b,"(128,)",0.0186938494444,26.1413726807,1.78721427917,3.65385699272,26.1413726807
bn3b3_branch2a,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3b3_branch2a,w,"(128,)",0.253172516823,1.57277071476,0.634987950325,0.199320241809,1.57277071476
scale3b3_branch2a,b,"(128,)",-4.00701951981,1.9610145092,-0.404543578625,0.715503752232,4.00701951981
res3b3_branch2b,w,"(128, 128, 3, 3)",-0.195594102144,0.289058834314,-0.00052152184071,0.0103916404769,0.289058834314
bn3b3_branch2b,w,"(128,)",-0.829460978508,1.19839727879,-0.0444030947983,0.385842561722,1.19839727879
bn3b3_branch2b,b,"(128,)",0.0132698547095,1.08446526527,0.175650477409,0.185660526156,1.08446526527
bn3b3_branch2b,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3b3_branch2b,w,"(128,)",0.351893991232,1.32144200802,0.793453097343,0.191583380103,1.32144200802
scale3b3_branch2b,b,"(128,)",-1.37940680981,1.22367489338,-0.407237887383,0.555079102516,1.37940680981
res3b3_branch2c,w,"(512, 128, 1, 1)",-0.195726886392,0.170993775129,-0.00106291088741,0.0124169718474,0.195726886392
bn3b3_branch2c,w,"(512,)",-0.43674698472,0.456874370575,-0.0287826731801,0.0871446505189,0.456874370575
bn3b3_branch2c,b,"(512,)",0.000188620237168,0.278930544853,0.0148552050814,0.0310182329267,0.278930544853
bn3b3_branch2c,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3b3_branch2c,w,"(512,)",-0.0217647589743,3.30960178375,0.384073257446,0.487564593554,3.30960178375
scale3b3_branch2c,b,"(512,)",-0.801792562008,0.689394295216,-0.160666421056,0.244706258178,0.801792562008
res3b4_branch2a,w,"(128, 512, 1, 1)",-0.193423956633,0.169146463275,-0.000447328668088,0.0167259350419,0.193423956633
bn3b4_branch2a,w,"(128,)",-2.60157155991,2.06488490105,-0.389468550682,1.00319838524,2.60157155991
bn3b4_branch2a,b,"(128,)",0.129351615906,3.94496107101,1.22622728348,0.626040637493,3.94496107101
bn3b4_branch2a,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3b4_branch2a,w,"(128,)",0.575796663761,1.56991553307,0.922768950462,0.175033286214,1.56991553307
scale3b4_branch2a,b,"(128,)",-1.53810334206,0.689167976379,-0.2089279145,0.444586575031,1.53810334206
res3b4_branch2b,w,"(128, 128, 3, 3)",-0.13193513453,0.160803720355,-0.000459621805931,0.0143964225426,0.160803720355
bn3b4_branch2b,w,"(128,)",-1.42952609062,1.43271553516,-0.236644744873,0.440039753914,1.43271553516
bn3b4_branch2b,b,"(128,)",0.0355615615845,0.789213001728,0.326772242785,0.17119705677,0.789213001728
bn3b4_branch2b,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3b4_branch2b,w,"(128,)",0.462503731251,1.35666275024,0.922395586967,0.215313956141,1.35666275024
scale3b4_branch2b,b,"(128,)",-1.03229141235,1.07455098629,-0.432714343071,0.404088199139,1.07455098629
res3b4_branch2c,w,"(512, 128, 1, 1)",-0.209088787436,0.182258874178,-0.000896110024769,0.0176915954798,0.209088787436
bn3b4_branch2c,w,"(512,)",-0.327088475227,0.522392272949,-0.0201588328928,0.0890964120626,0.522392272949
bn3b4_branch2c,b,"(512,)",0.000115504430141,0.198878973722,0.0134211294353,0.0139569211751,0.198878973722
bn3b4_branch2c,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3b4_branch2c,w,"(512,)",-0.0118569396436,3.38776230812,0.508009672165,0.391089916229,3.38776230812
scale3b4_branch2c,b,"(512,)",-0.996614933014,0.925586700439,-0.185378670692,0.242008477449,0.996614933014
res3b5_branch2a,w,"(128, 512, 1, 1)",-0.178634524345,0.204148963094,-0.000436849222751,0.0202018748969,0.204148963094
bn3b5_branch2a,w,"(128,)",-2.40710282326,2.1776239872,-0.3881290555,0.765093028545,2.40710282326
bn3b5_branch2a,b,"(128,)",1.08130097942e-06,5.25990581512,2.24845528603,1.04869329929,5.25990581512
bn3b5_branch2a,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3b5_branch2a,w,"(128,)",0.281227111816,1.40237033367,0.93209117651,0.170403897762,1.40237033367
scale3b5_branch2a,b,"(128,)",-3.58456850052,0.726189672947,-0.31541672349,0.570345818996,3.58456850052
res3b5_branch2b,w,"(128, 128, 3, 3)",-0.152531802654,0.159225717187,-0.000574503152166,0.0192837398499,0.159225717187
bn3b5_branch2b,w,"(128,)",-0.889978289604,0.392325669527,-0.163341939449,0.20936357975,0.889978289604
bn3b5_branch2b,b,"(128,)",0.0959197729826,1.09153962135,0.529449045658,0.177557095885,1.09153962135
bn3b5_branch2b,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3b5_branch2b,w,"(128,)",0.630172431469,1.53911864758,1.14187431335,0.167500019073,1.53911864758
scale3b5_branch2b,b,"(128,)",-2.11737012863,0.684398233891,-0.57652759552,0.342868149281,2.11737012863
res3b5_branch2c,w,"(512, 128, 1, 1)",-0.180931344628,0.389210373163,-0.00192491954658,0.0214269943535,0.389210373163
bn3b5_branch2c,w,"(512,)",-0.596054077148,0.544510424137,-0.0573068968952,0.128777250648,0.596054077148
bn3b5_branch2c,b,"(512,)",0.000158005277626,0.150767371058,0.024506399408,0.0269107129425,0.150767371058
bn3b5_branch2c,b,"(1,)",1.0,1.0,1.0,0.0,1.0
scale3b5_branch2c,w,"(512,)",-0.0202990900725,3.44964742661,0.7332020998,0.691835999489,3.44964742661
scale3b5_branch2c,b,"(512,)",-1.28493964672,1.15166831017,-0.153544157743,0.289078950882,1.28493964672
res3b6_branch2a,w,"(128, 512, 1, 1)",-0.264355361462,0.266262888908,-0.000977882998995,0.0212538354099,0.266262888908
bn3b6_branch2a,w,"(128,)",-3.73050808907,2.12675285339,-0.779107570648,1.13668513298,3.73050808907
